name,smiles,isactive
Darunavir,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(N)cc1,1
Indinavir,CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1CC(O)CC(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O,1
Camostat,CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(N=C(N)N)cc2)cc1,0
Favipiravir,NC(=O)c1nc(F)c[nH]c1=O,0
Acetyl spiramycin,COC1C(OC(C)=O)CC(=O)OC(C)CC=CC=CC(OC2CCC(N(C)C)C(C)O2)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(O)C(C)O2)C(N(C)C)C1O,0
Alfadolone,CC12CC(=O)C3C(CCC4CC(O)CCC43C)C1CCC2C(=O)CO,0
Ambrisentan,COC(c1ccccc1)(c1ccccc1)C(Oc1nc(C)cc(C)n1)C(=O)O,0
Artenimol,CC1CCC2C(C)C(O)OC3OC4(C)CCC1C32OO4,0
Benoxinate hydrochloride,CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N,0
Benzathine,c1ccc(CNCCNCc2ccccc2)cc1,0
Bisbentiamine,CC(=C(CCOC(=O)c1ccccc1)SSC(CCOC(=O)c1ccccc1)=C(C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N,0
Budralazine,CC(C)=CC(C)=NNc1nncc2ccccc12,0
Candesartan,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0
Cisatracurium besylate,COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC,0
Cyclofenil,CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1,0
Dipivefrin hydrochloride,CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1,0
Eperisone HCl,CCc1ccc(C(=O)C(C)CN2CCCCC2)cc1,0
Fenoldopam,Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,0
Formoterol,COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,0
Fosinopril,CCC(=O)OC(OP(=O)(CCCCc1ccccc1)CC(=O)N1CC(C2CCCCC2)CC1C(=O)O)C(C)C,0
Fursultiamine hydrochloride,CC(=C(CCO)SSCC1CCCO1)N(C=O)Cc1cnc(C)nc1N,0
Ibudilast,CC(C)C(=O)c1c(C(C)C)nn2ccccc12,0
Meprylcaine hydrochloride,CCCNC(C)(C)COC(=O)c1ccccc1,0
Meptazinol,CCC1(c2cccc(O)c2)CCCCN(C)C1,0
Mirtazapine,CN1CCN2c3ncccc3Cc3ccccc3C2C1,0
Misoprostol,CCCCC(C)(O)CC=CC1C(O)CC(=O)C1CCCCCCC(=O)OC,0
Nabumetone,COc1ccc2cc(CCC(C)=O)ccc2c1,0
Nalmefene hydrochloride,C=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5,0
Olanzapine,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,0
Olmesartan,CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0
Ondansetron hydrochloride,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,0
Oxymetholone,CC12CC(=CO)C(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O,0
Oxyphenisatin,O=C1Nc2ccccc2C1(c1ccc(O)cc1)c1ccc(O)cc1,0
Prednicarbate,CCOC(=O)OC1(C(=O)COC(=O)CC)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,0
Sparfloxacin,CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC(C)N1,0
Tolterodine tartrate,Cc1ccc(O)c(C(CCN(C(C)C)C(C)C)c2ccccc2)c1,0
Vonoprazan,CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1,0
Zoledronic acid hydrate,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,0
Merbromin,O=C1OC2(c3cc(Br)c([O-])cc3Oc3c2cc(Br)c([O-])c3[Hg])c2ccccc21,0
Methandrostenolone,CC12C=CC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,0
